Selected,community,Cluster,Silhouette,mds-x,mds-y,Silhouette (Cluster),Selected (1),resource,in_degree,out_degree,betweenness,closeness,eigenvector,events,cases,activities,events_per_case
No Yes,0 1 2,C1 C2 C3,continuous,continuous,continuous,continuous,No Yes,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,meta,meta,meta,meta,meta,,,,,,,,,,
No,0,C2,0.5,0.81139,-7.64858e-05,0,No,112,1011,9742,0.00723918,0.770115,0.140054,36029,13087,10,2.75304
No,0,C1,0.620165,-0.0347693,-6.53331e-05,0.808922,No,10862,161,100,0.0534654,0.59292,0.0196212,492,160,10,3.07500
No,2,C3,0.66741,0.0320634,0.000716241,0.600722,No,10913,1957,1701,0.0087285,0.848101,0.23481,4004,1664,16,2.40625
No,2,C3,0.658759,0.00557269,0.00064754,0.538619,No,11049,1531,1508,0.0140384,0.87013,0.193463,2580,1245,12,2.07229
No,1,C3,0.571569,0.0063737,-0.000694783,0.481471,No,10629,929,447,0.0422426,0.744444,0.10725,3234,640,20,5.05312
No,0,C1,0.612228,-0.0308875,-3.0329e-05,0.763624,No,11120,298,158,0.0542088,0.656863,0.0340522,705,294,9,2.39796
No,1,C3,0.603543,-2.01834e-07,-0.000167779,0.482411,No,10809,968,607,0.0324475,0.788235,0.106975,2772,744,21,3.72581
No,2,C3,0.587524,-0.0171139,-1.09655e-05,-0.26929,No,10912,572,493,0.0298525,0.807229,0.063385,1583,536,15,2.95336
No,2,C3,0.668293,0.0179872,0.000289447,0.622569,No,11201,1615,1465,0.000342873,0.817073,0.206488,3550,1414,15,2.51061
No,2,C3,0.664188,0.0291681,0.000624963,0.606543,No,11119,1892,1660,0.000925719,0.8375,0.233938,3978,1662,15,2.39350
No,2,C3,0.656635,0.0421331,0.0013295,0.562417,No,10861,2140,1898,0.00729361,0.82716,0.271242,4382,1786,15,2.45353
No,2,C3,0.666347,0.0224043,0.000645222,0.613195,No,11203,1833,1616,0.0153502,0.82716,0.228635,3661,1525,14,2.40066
No,2,C3,0.659045,0.0376742,0.0010158,0.566584,No,11181,2116,1922,0.0187593,0.87013,0.26334,4326,1736,16,2.49194
No,2,C3,0.664434,0.0265589,0.000131609,0.609854,No,11189,1636,1406,0.000260333,0.770115,0.199923,4139,1424,15,2.90660
No,1,C3,0.624037,0.0266204,-0.00102413,0.570413,No,10609,1455,904,0.018068,0.788235,0.168828,4184,891,20,4.69585
No,0,C1,0.63985,-0.0428549,-7.28191e-05,0.807535,No,11111,23,14,0.0224827,0.507576,0.00254712,39,23,9,1.69565
No,2,C3,0.675518,0.0181974,0.000168869,0.628753,No,10982,1522,1317,0.0143298,0.858974,0.182823,3582,1344,16,2.66518
No,2,C3,0.59408,-0.0185853,1.41085e-05,-0.339041,No,11019,626,553,0.0117824,0.752809,0.072154,1420,567,15,2.50441
No,2,C3,0.668523,0.0278665,0.000618675,0.607956,No,11180,1870,1687,0.0133377,0.87013,0.241251,3957,1578,16,2.50760
No,1,C3,0.605087,-0.00450599,0.000182147,0.397305,No,10899,1167,1136,0.0277151,0.8375,0.147301,2072,1033,11,2.00581
No,1,C3,0.584755,0.0546005,-0.00270323,0.469485,No,10138,1453,610,0.0533353,0.744444,0.158459,5241,1022,20,5.12818
No,2,C3,0.564411,-0.022877,1.83499e-05,-0.549219,No,11002,526,490,0.0253579,0.752809,0.0677064,1127,467,15,2.41328
No,2,C3,0.660726,0.0107683,-8.49066e-05,0.603622,No,11122,1160,1030,0.000880278,0.82716,0.13264,3425,1061,15,3.22809
No,2,C3,0.628639,-0.00816652,-4.47741e-06,0.298774,No,10889,832,673,0.031223,0.817073,0.103288,2137,786,16,2.71883
No,1,C3,0.585816,0.0215066,-0.0019147,0.53253,No,10972,1159,533,0.0369317,0.770115,0.123758,4213,770,20,5.47143
No,2,C3,0.661685,-0.00271571,1.97649e-05,0.496135,No,11121,1055,957,0.00226798,0.848101,0.129117,2451,942,16,2.60191
No,2,C3,0.615087,-0.0147348,6.86307e-06,-0.103005,No,10939,701,594,0.0115275,0.770115,0.0898823,1682,647,14,2.59969
No,1,C1,0.585625,-0.0335572,0.000133197,0.77344,No,11029,368,366,0.011685,0.683673,0.0468715,370,365,5,1.01370
No,2,C3,0.633168,-0.00842305,-2.49732e-05,0.296292,No,11009,773,648,0.0179264,0.817073,0.0863555,2198,725,15,3.03172
No,2,C3,0.656424,-0.00329904,2.22652e-05,0.478334,No,11000,1029,926,0.00387422,0.788235,0.126969,2393,914,15,2.61816
No,2,C3,0.637362,-0.0117386,2.06809e-05,0.101675,No,10863,811,684,0.010597,0.797619,0.102023,1828,746,15,2.45040
No,2,C3,0.649658,0.0419246,0.000578512,0.553622,No,11169,1998,1681,0.038339,0.893333,0.234994,4739,1713,16,2.76649
No,2,C3,0.652766,-0.00274021,5.96899e-05,0.49198,No,11179,1130,1005,0.0233504,0.807229,0.137173,2399,1003,14,2.39182
No,0,C1,0.608064,-0.0402302,-7.13382e-05,0.821195,No,11001,60,41,0.0096386,0.523438,0.00736781,184,60,14,3.06667
No,0,C1,0.623977,-0.0362095,-6.01316e-05,0.821563,No,10971,131,95,0.0486953,0.587719,0.0147281,410,130,10,3.15385
No,2,C1,0.536698,-0.0362886,-1.13143e-05,0.713826,No,10228,178,127,0.0982835,0.656863,0.021187,323,175,16,1.84571
No,0,C1,0.558636,-0.017311,-7.23481e-05,0.214539,No,11202,488,311,0.0258142,0.705263,0.0599461,1734,482,10,3.59751
No,1,C1,0.546916,-0.0292674,3.37905e-05,0.720508,No,10789,382,377,0.0428174,0.797619,0.0467175,680,369,10,1.84282
No,2,C3,0.662582,-0.00138517,5.61202e-05,0.504323,No,10881,1115,928,0.00454566,0.82716,0.140936,2446,1026,15,2.38402
No,2,C3,0.672178,0.0268859,0.000569549,0.617906,No,10909,1782,1567,0.00830956,0.848101,0.214338,3844,1555,16,2.47203
No,0,C1,0.621821,-0.0382796,-6.38046e-05,0.712673,No,10188,106,50,0.0471253,0.57265,0.00981474,267,87,2,3.06897
No,2,C3,0.652111,0.00391617,-6.5437e-05,0.567192,No,10910,1103,836,0.00398305,0.744444,0.127516,2936,986,16,2.97769
No,2,C3,0.628212,-0.00882027,-2.19417e-05,0.268702,No,10929,768,663,0.00498358,0.761364,0.0943428,2155,675,16,3.19259
No,2,C3,0.550116,-0.0246396,-2.12705e-05,-0.623746,No,10931,388,341,0.0176061,0.752809,0.0455212,1097,367,15,2.98910
No,1,C3,0.626936,-0.00277875,0.000251059,0.454687,No,11259,1258,1247,0.0232812,0.82716,0.162698,2237,1094,13,2.04479
No,2,C1,0.502099,-0.021416,-9.1855e-05,0.435716,No,11200,343,238,0.0310123,0.690722,0.0411314,1486,341,10,4.35777
No,0,C1,0.605966,-0.0422697,-8.20898e-05,0.800572,No,10779,27,10,0.0337243,0.553719,0.00317689,75,26,17,2.88462
No,0,C1,0.623803,-0.0318562,-5.14127e-05,0.780158,No,10880,228,142,0.0432288,0.62037,0.0273494,660,226,9,2.92035
No,1,C1,0.592846,-0.0382093,-1.30848e-05,0.822938,No,10914,137,125,0.027698,0.644231,0.0188933,243,135,15,1.80000
No,0,C1,0.63277,-0.0371113,-4.92524e-05,0.819596,No,10859,137,77,0.0462993,0.57265,0.0163988,338,136,10,2.48529
No,1,C1,0.563916,-0.0427231,-9.09158e-05,0.787103,No,11339,14,4,0.00497871,0.507576,0.0013713,60,13,14,4.61538
No,2,C1,0.475177,-0.0239016,-2.21046e-06,0.572891,No,10933,460,406,0.0133231,0.683673,0.0507996,1100,405,13,2.71605
No,0,C1,0.634111,-0.0431991,-7.12374e-05,0.806169,No,11079,16,16,0.0438333,0.540323,0.00169442,20,16,5,1.25000
No,2,C3,0.663277,0.000620393,4.34481e-05,0.542975,No,10932,1120,957,0.00272938,0.82716,0.131192,2629,1000,15,2.62900
No,2,C1,0.494106,-0.032017,-2.22698e-06,0.787059,No,10935,286,238,0.0145738,0.728261,0.0339457,584,265,14,2.20377
No,0,C1,0.62849,-0.0436784,-8.50662e-05,0.792736,No,11254,2,2,0.00506296,0.475177,0.000392873,3,2,1,1.50000
No,2,C3,0.651546,-0.00640835,2.2836e-05,0.387009,No,11003,957,816,0.0198858,0.82716,0.114413,2203,861,15,2.55865
No,1,C1,0.626506,-0.0436624,-8.37016e-05,0.79138,No,11269,3,3,0.0111463,0.492647,0.000509549,3,3,3,1.00000
No,1,C1,0.617596,-0.0437225,-8.58099e-05,0.79534,No,10821,1,1,0.000532331,0.432258,8.22171e-05,1,1,1,1.00000
No,1,C1,0.482613,-0.0241227,-3.46105e-05,0.54884,No,11289,460,331,0.0386316,0.690722,0.0551604,1199,282,18,4.25177
No,1,C1,0.618198,-0.043704,-8.60614e-05,0.69984,No,10125,1,1,0,0.429487,0.000121473,2,1,1,2.00000
No,2,C1,0.529901,-0.0333984,3.17874e-05,0.775759,No,11299,318,282,0.0264655,0.663366,0.0403316,469,278,15,1.68705
No,0,C1,0.631392,-0.0436016,-8.24843e-05,0.699893,No,10124,4,4,0.0107314,0.496296,0.000397466,5,4,4,1.25000
No,2,C1,0.565308,-0.0346998,9.26855e-06,0.790716,No,11309,252,212,0.0132906,0.626168,0.0261024,427,229,12,1.86463
No,2,C1,0.541692,-0.0322271,-7.45201e-06,0.768257,No,11300,297,225,0.0055011,0.638095,0.0329885,596,263,12,2.26616
No,2,C1,0.5458,-0.0320805,5.05406e-06,0.764669,No,11302,301,275,0.018997,0.626168,0.0320785,591,262,14,2.25573
No,2,C1,0.556904,-0.0347458,-7.26398e-06,0.790705,No,11319,232,193,0.0111677,0.62037,0.0285848,446,204,13,2.18627
No,0,C1,0.628733,-0.043298,-7.71273e-05,0.789422,No,11304,12,12,0.00515977,0.5,0.000875585,19,10,1,1.90000
