resource,in_degree,out_degree,betweenness,closeness,eigenvector,events,cases,activities,events_per_case
112,1011,9742,0.007239180772110689,0.7701149425287356,0.1400544028355477,36029,13087,10,2.7530373653243676
10862,161,100,0.05346539514353346,0.5929203539823009,0.019621244343573242,492,160,10,3.075
10913,1957,1701,0.008728501065909855,0.8481012658227848,0.2348103553074786,4004,1664,16,2.40625
11049,1531,1508,0.014038432610693942,0.8701298701298701,0.19346254450479206,2580,1245,12,2.072289156626506
10629,929,447,0.042242646669376646,0.7444444444444445,0.10725020927149977,3234,640,20,5.053125
11120,298,158,0.05420877593812174,0.6568627450980392,0.03405217640003561,705,294,9,2.3979591836734695
10809,968,607,0.03244752681672186,0.788235294117647,0.106975288108955,2772,744,21,3.725806451612903
10912,572,493,0.029852527346472972,0.8072289156626506,0.06338497764445089,1583,536,15,2.953358208955224
11201,1615,1465,0.0003428728666177784,0.8170731707317073,0.20648779766412118,3550,1414,15,2.510608203677511
11119,1892,1660,0.0009257188361665975,0.8375,0.23393808205907016,3978,1662,15,2.3935018050541514
10861,2140,1898,0.007293606250526197,0.8271604938271605,0.27124203572037686,4382,1786,15,2.4535274356103023
11203,1833,1616,0.015350248700140111,0.8271604938271605,0.22863455175011144,3661,1525,14,2.400655737704918
11181,2116,1922,0.018759269149364127,0.8701298701298701,0.263339902523972,4326,1736,16,2.4919354838709675
11189,1636,1406,0.0002603325364519394,0.7701149425287356,0.19992306039744137,4139,1424,15,2.9066011235955056
10609,1455,904,0.01806804320831777,0.788235294117647,0.16882849634934316,4184,891,20,4.695847362514029
11111,23,14,0.022482740644711736,0.5075757575757576,0.0025471160981188124,39,23,9,1.6956521739130435
10982,1522,1317,0.01432980928800627,0.8589743589743589,0.18282283952548625,3582,1344,16,2.6651785714285716
11019,626,553,0.011782429774519706,0.7528089887640449,0.07215396275702443,1420,567,15,2.504409171075838
11180,1870,1687,0.013337705485422784,0.8701298701298701,0.241251377681502,3957,1578,16,2.5076045627376424
10899,1167,1136,0.027715140658846046,0.8375,0.1473010633223806,2072,1033,11,2.005808325266215
10138,1453,610,0.0533353029957224,0.7444444444444445,0.1584589820186068,5241,1022,20,5.128180039138943
11002,526,490,0.02535786403892398,0.7528089887640449,0.06770636535822071,1127,467,15,2.4132762312633833
11122,1160,1030,0.0008802781011257346,0.8271604938271605,0.13263954704793962,3425,1061,15,3.22808671065033
10889,832,673,0.031222955704494914,0.8170731707317073,0.10328811233477958,2137,786,16,2.71882951653944
10972,1159,533,0.036931700213233956,0.7701149425287356,0.12375828722066211,4213,770,20,5.4714285714285715
11121,1055,957,0.0022679784203050225,0.8481012658227848,0.12911735201299177,2451,942,16,2.6019108280254777
10939,701,594,0.011527463280921574,0.7701149425287356,0.08988226655386833,1682,647,14,2.599690880989181
11029,368,366,0.011684979315077487,0.6836734693877551,0.04687152775054307,370,365,5,1.0136986301369864
11009,773,648,0.017926363447797203,0.8170731707317073,0.08635545630795081,2198,725,15,3.0317241379310347
11000,1029,926,0.003874220938067597,0.788235294117647,0.12696914415145624,2393,914,15,2.6181619256017505
10863,811,684,0.01059698038457317,0.7976190476190477,0.10202258700117929,1828,746,15,2.450402144772118
11169,1998,1681,0.03833903856616381,0.8933333333333333,0.23499374617477864,4739,1713,16,2.7664915353181554
11179,1130,1005,0.02335035968020077,0.8072289156626506,0.1371731177938566,2399,1003,14,2.391824526420738
11001,60,41,0.009638599957603348,0.5234375,0.007367806219351763,184,60,14,3.066666666666667
10971,131,95,0.04869533180137473,0.5877192982456141,0.014728072522603112,410,130,10,3.1538461538461537
10228,178,127,0.09828353458713655,0.6568627450980392,0.021186987854874297,323,175,16,1.8457142857142856
11202,488,311,0.025814185749294193,0.7052631578947368,0.059946060524689114,1734,482,10,3.5975103734439835
10789,382,377,0.04281743371228397,0.7976190476190477,0.04671748048153853,680,369,10,1.8428184281842819
10881,1115,928,0.004545657690188465,0.8271604938271605,0.14093572390296716,2446,1026,15,2.38401559454191
10909,1782,1567,0.008309559461019649,0.8481012658227848,0.21433834625207304,3844,1555,16,2.472025723472669
